ANNEXE1 : Tableau des Opérations Financières de l’Etat ;
TOFE 2007;Prévisions;Programme;Projections;PPTEet IADM;Total;
Loi Fin Rec Sept 07;Rév 2007;Rév 2007;2007;Réalisations;
1. Recettes totales et dons;736 173 372;629 335 057;678 217 770;0;650 547 102;
Tab.3 1.1. Recettes totales;488 707 506;450 400 000;440 217 770;0;440 247 173;
1.1.1. Recettes courantes;488 539 762;450 233 229;440 050 999;0;440 090 958;
1.1.2. Recettes fiscales*;448 872 530;413 500 000;404 150 999;0;405 237 668;
1.1.3.  Recettes non fiscales;39 667 232;36 733 229;35 900 000;34 853 290;
1.1.4. Recettes en capital;167 744;166 771;166 771;156 215;
1.2. Dons;247 465 866;178 935 057;238 000 000;0;210 299 929;
Tab.6 1.2.1. projets;144 630 809;108 500 000;142 100 000;0;114 673 294;
Tab.5 1.2.2. programme;102 835 057;70 435 057;95 900 000;0;95 626 635;
0;
Tab. 72. Dépenses et prêts nets 1/;972 838 163;855 459 955;885 300 000;33 740 045;834 762 743;
2.1. Dépenses courantes;449 038 783;433 284 000;447 300 000;11 816 000;450 279 430;
Salaires;187 935 478;186 400 000;187 900 000;1 500 000;187 595 715;
Dépenses de Fonctionnement;104 547 966;97 600 000;99 100 000;1 500 000;94 837 665;
Intérêts dus;9 150 337;8 200 000;10 400 000;0;13 054 659;
Tab.7&11;sur dette intérieure;4 955 523;4 000 000;5 900 000;0;6 359 275;
Tab.7&10;sur dette extérieure;4 194 814;4 200 000;4 500 000;0;6 695 384;
Transferts courants*;147 405 002;141 084 000;149 900 000;8 816 000;154 791 391;
Tab.7 2.2. Dépenses en capital;520 626 974;425 075 955;433 300 000;21 924 045;383 308 624;
financées sur ressources propres;162 697 533;160 175 955;167 000 000;21 924 045;142 792 430;
 transferts en capital et restructurations;23 600 000;23 600 000;23 600 000;0;32 877 527;
financées sur ressources extérieures;334 329 441;241 300 000;242 700 000;0;207 638 667;
       sur Dons;144 630 809;108 500 000;142 100 000;0;114 673 294;
      sur Prêts;189 698 632;132 800 000;100 600 000;0;92 965 373;
2.3. Prêts nets 2/;3 172 406;-2 900 000;4 700 000;0;1 174 688;
3. Solde global (base engagement);-236 664 791;-226 124 898;-207 082 230;-33 740 045;-184 215 641;
4. Ajustement caisse;0;0;-10 000 000;33 740 045;14 109 839;
5. Solde global base caisse ;-236 664 791;-226 124 898;-217 082 230;0;-170 105 801;
Solde global base caisse hors dons;-484 130 657;-405 059 955;-455 082 230;0;-380 405 731;
6. Financement;236 664 791;230 706 943;216 400 000;0;172 149 948;
6.1. Financement exterieur;198 296 604;175 239 972;107 300 000;0;99 303 487;
6.2. Financement interieur;38 368 187;55 466 971;109 100 000;0;72 846 461;
Erreurs et omissions(-=surfinancement);-2 044 146;
Gap de financement;0;-4 582 045;682 230;0;0;
i ;
 ;
TOFE 2008;
Prévisions Loi initiale;Prévisions Loi rectificative Programme Projections;Total;
1. Recettes totales et dons;690 522 753;721 299 515 705 976 754 698 700 000 630 752 098;
Tab.3;1.1. Recettes totales;507 861 787;507 861 787 477 670 754 479 600 000 483 833 898;
1.1.1. Recettes courantes;507 684 083;507 684 083 477 493 050 479 420 740 483 826 572;
1.1.1.1 Recettes fiscales*;475 454 992;475 454 992 445 452 909 446 000 000 444 671 069;
1.1.1.2  Recettes non fiscales;32 229 091;32 229 091;32 040 141;33 420 740;39 155 503;
1.1.2. Recettes en capital;177 704;177 704;177 704;179 260;7 326;
1.2. Dons;182 660 966;213 437 728 228 306 000 219 100 000 146 918 200;
T ab.6;1.2.1. projets;118 478 628;118 478 628 162 000 000 118 500 000;58 684 742;
T ab.5;1.2.2. programme;64 182 338;94 959 100;66 306 000 100 600 000;88 233 458;
T ab. 7 2. Dépenses et prêts nets 1/;947 855 438;965 914 370 925 127 897 885 500 000 791 858 183;
2.1. Dépenses courantes;446 267 629;455 830 850 452 513 464 446 360 000 455 189 053;
Salaires;193 696 088;198 996 088 193 700 000 198 000 000 198 826 233;
Dépenses de Fonctionnement;100 255 998;100 611 675 104 500 000;99 300 000;95 308 772;
Intérêts dus;13 113 463;13 613 503;13 113 464;13 700 000;12 693 275;
T ransferts courants*;139 202 080;142 609 584 141 200 000 135 360 000 148 360 773;
Tab.7;2.2. Dépenses en capital;504 513 376;513 009 087 450 540 000 424 340 000 325 066 705;
financées sur ressources propres;203 188 405;217 684 116 163 630 000 185 930 000 194 252 124;
 transferts en capital et restructurations;13 710 000;7 710 000;13 710 000;13 710 000;6 172 216;
financées sur ressources extérieures;287 614 971;287 614 971 273 200 000 224 700 000 124 642 365;
       sur Dons;118 478 628;118 478 628 162 000 000 118 500 000;55 313 362;
      sur Prêts;169 136 343;169 136 343 111 200 000 106 200 000;69 329 003;
2.3. Prêts nets 2/;-2 925 567;-2 925 567;22 074 433;14 800 000;11 602 425;
3. Solde global (base engagement);-257 332 685;-244 614 855 -219 151 143 -186 800 000 -161 106 085;
4. Ajustement caisse;0;0;0;-8 800 000;19 231 371;
5. Solde global base caisse ;-257 332 685;-244 614 855 -219 151 143 -195 600 000 -141 874 714;
Solde global base caisse hors dons;-439 993 651;-458 052 583 -447 457 143 -414 700 000 -288 792 914;
6. Financement;258 946 187;250 306 492 204 883 823 186 200 000 144 781 922;
6.1. Financement exterieur;205 976 187;204 836 687 144 100 000 144 200 000 102 279 659;
6.2. Financement interieur;52 970 000;45 469 805;60 783 823;42 000 000;42 502 263;
Erreurs et omissions(-=surfinancement);-2 907 208;
Gap de financement;-1 613 502;-5 691 637;14 267 320;9 400 000;0;
ii ;
 ;
TOFE 2009;Prévisions;Prévisions;Programme initial Programme revisé;Total;
Loi Fin initiale ;Loi Fin rect;2009;sept-09;Réalisations;
1. Recettes totales et dons;777 411 763;854 628 211;757 001 698;778 100 000;771 523 642;
Tab.3;1.1. Recettes totales;573 560 750;575 560 750;536 401 698;506 900 000;539 095 255;
1.1.1. Recettes courantes;573 554 049;575 554 049;536 395 236;506 892 016;539 091 339;
1.1.1.1 Recettes fiscales*;536 333 980;536 333 980;500 501 698;463 100 000;494 578 785;
Impôts sur revenus et bénéfices;153 540 710;153 540 710;120 200 000;106 300 000;106 686 380;
dont impôts sur BIC sociétés;81 520 601;81 520 601;63 818 750;54 361 738;48 844 656;
Impôt sur la main d'œuvre;4 275 522;4 275 522;7 110 907;6 212 276;6 243 252;
Impôt sur la propriété;2 958 755;2 958 755;4 920 904;4 299 032;3 487 126;
Taxes sur biens et services;300 415 690;300 415 690;273 900 000;257 000 000;282 942 742;
Autres recettes fiscales;3 708 701;3 708 701;6 168 189;5 388 693;5 490 214;
1.1.1.2  Recettes non fiscales;37 220 069;39 220 069;35 893 538;43 792 016;44 512 554;
1.1.2. Recettes en capital;6 701;6 701;6 462;7 984;3 917;
1.2. Dons;203 851 013;279 067 461;220 600 000;271 200 000;232 428 386;
Tab.6;1.2.1. projets;134 851 013;140 006 503;167 800 000;129 900 000;86 924 440;
Tab.5;1.2.2. programmes;69 000 000;139 060 958;52 800 000;141 300 000;145 503 947;
Tab. 7;2. Dépenses totales et prêts nets ;1 002 583 131;1 093 788 349;943 000 000;1 035 600 000;959 595 011;
2.1. Dépenses totales;1 005 136 881;1 098 388 349;945 000 000;1 040 600 000;956 438 735;
2.1.1. Dépenses courantes;468 980 531;503 576 509;466 000 000;514 900 000;499 074 562;
Salaires;207 396 156;229 900 000;203 000 000;229 900 000;228 436 133;
Dépenses de fonctionnement;100 394 000;101 960 023;99 800 000;112 200 000;95 120 137;
Intérêts dus;13 861 999;13 900 000;19 900 000;14 000 000;16 870 967;
Tab.7&11;sur dette intérieure;6 161 109;7 700 000;8 844 761;6 222 445;8 121 736;
Tab.7&10;sur dette extérieure;7 700 890;6 200 000;11 055 239;7 777 555;8 749 231;
Transferts courants;147 328 376;157 816 486;143 300 000;158 800 000;158 647 325;
Tab.7;2.1.2. Dépenses en capital;536 156 350;594 811 840;479 000 000;525 700 000;457 364 172;
Investissements sur ressources propres;228 838 772;228 838 772;187 000 000;232 800 000;235 606 283;
Transferts en capital et restructurations;7 000 000;25 500 000;0;25 500 000;25 423 713;
Investissements sur ressources extérieures;300 317 578;340 473 068;292 000 000;267 400 000;196 334 176;
        Dons;134 851 013;140 006 503;167 800 000;129 900 000;86 924 440;
        Prêts;165 466 565;200 466 565;124 200 000;137 500 000;109 409 736;
2.2. Prêts nets ;-2 553 750;-4 600 000;-2 000 000;-5 000 000;3 156 276;
3. Solde global (base engagement);-225 171 368;-239 160 138;-185 998 302;-257 500 000;-188 071 369;
4. Ajustement caisse;0;0;0;-22 900 000;95 474 026;
5. Solde global base caisse ;-225 171 368;-239 160 138;-185 998 302;-280 400 000;-92 597 343;
Solde global base caisse hors dons;-429 022 381;-518 227 599;-406 598 302;-551 600 000;-325 025 729;
6. Financement;226 638 564;239 746 422;184 500 000;280 400 000;93 654 885;
6.1. Financement exterieur;205 417 632;198 946 422;133 600 000;136 700 000;109 562 810;
6.2. Financement intérieur;21 220 932;40 800 000;50 900 000;143 700 000;-15 907 925;
Erreurs et omissions(-=surfinancement);-1 057 542;
Gap de financement;-1 467 196;-586 284;1 498 302;0;0;
iii ;
 ;
TOFE 2010;
Prévisions;Prévisions;Programme initial;Programme revisé;Total;
Loi Fin initiale ;Loi Fin rect;2010;sept-10;Réalisations;
1. Recettes totales et dons;877 507 905;970 903 489;850 427 963;940 520 077;880 219 148;
Tab.3;1.1. Recettes totales;615 261 592;677 171 755;585 327 963;667 960 077;681 279 432;
1.1.1. Recettes courantes;615 071 896;676 982 059;585 134 474;667 959 053;681 279 200;
1.1.1.1 Recettes fiscales*;571 447 662;571 447 662;541 695 000;558 045 462;565 749 861;
1.1.1.2  Recettes non fiscales;43 624 234;105 534 397;43 439 474;109 913 591;115 529 339;
1.1.2. Recettes en capital;189 696;189 696;193 490;1 024;232;
1.2. Dons;262 246 313;293 731 734;265 100 000;272 560 000;198 939 715;
Tab.6;1.2.1. projets;121 884 155;122 039 645;121 440 000;121 400 000;51 127 271;
Tab.5;1.2.2. programmes;140 362 158;171 692 089;143 660 000;151 160 000;147 812 444;
0,0;
2. Dépenses totales et prêts nets ;1 104 404 560;1 144 677 696;1 062 004 207;1 145 950 303;1 077 028 657;
Tab. 7;
2.1. Dépenses totales;1 109 229 257;1 149 502 393;1 055 129 207;1 150 475 000;1 083 224 887;
2.1.1. Dépenses courantes;523 834 819;531 047 276;532 200 000;532 297 000;530 872 106;
Salaires;242 000 000;245 869 998;242 000 000;245 987 000;245 819 928;
Dépenses de fonctionnement;100 201 330;100 357 494;107 000 000;100 300 000;90 764 421;
Intérêts dus;16 599 099;19 752 892;18 400 000;21 110 000;21 354 240;
Tab.7&11;sur dette intérieure;7 493 346;8 993 346;9 700 000;11 100 000;11 151 101;
Tab.7&10;sur dette extérieure;9 105 753;10 759 546;8 700 000;10 010 000;10 203 139;
Transferts courants;165 034 390;165 066 892;164 800 000;164 900 000;172 933 518;
Tab.7;2.1.2. Dépenses en capital;585 394 438;618 455 117;522 929 207;550 500 000;484 662 647;
Investissements sur ressources propres;305 308 076;342 213 265;243 287 000;274 900 000;276 973 209;
dont chèques du trésor;25 000 000;24 800 000;25 000 000;24 800 000;28 953 661;
Transferts en capital et restructurations;9 400 000;5 400 000;9 400 000;5 400 000;3 795 360;
Investissements sur ressources extérieures;270 686 362;270 841 852;270 242 207;270 200 000;203 894 077;
        Dons;121 884 155;122 039 645;121 440 000;121 400 000;51 127 271;
        Prêts;148 802 207;148 802 207;148 802 207;148 800 000;152 766 806;
          2.1.3   Réliquat dépenses exceptionnelles 2009;67 678 000;67 690 134;
2.2. Prêts nets ;-4 824 697;-4 824 697;6 875 000;-4 524 697;-6 196 230;
3. Solde global (base engagement);-226 896 655;-173 774 207;-211 576 244;-205 430 226;-196 809 509;
Solde global hors dons (base engagement);-489 142 968;-467 505 941;-476 676 244;-477 990 226;-395 749 224;
Solde primaire;-201 857 507;-176 911 197;-188 034 037;-186 680 226;-170 500 907;
Solde de base;-218 456 606;-196 664 089;-206 434 037;-207 790 226;-191 855 147;
4. Ajustement caisse;0;0;-89 390 000;-27 000 000;-2 105 335;
5. Solde global base caisse ;-226 896 655;-173 774 207;-300 966 244;-232 430 226;-198 914 844;
-489 142 968;-467 505 941;-566 066 244;-504 990 226;-397 854 560;
Solde global base caisse hors dons;
6. Financement;226 896 655;173 774 207;276 339 244;227 616 000;194 911 795;
6.1. Financement exterieur;156 393 983;140 832 207;133 602 207;138 900 000;150 676 389;
6.2. Financement intérieur;70 502 672;32 942 000;142 737 037;88 716 000;44 235 406;
Tab.3;Recettes de privatisations;4 000 000;6 630 000;7 100 000;6 630 000;6 867 182;
Erreurs et omissions(-=surfinancement);4 003 049;
Gap de financement;0;0;24 627 000;4 814 226;0;
iv ;
 ;
TOFE 2011;
Prévisions;Prévisions;Programme initial;Programme revisé;Total;
Loi Fin initiale 2011;Loi Fin rect 2011;2011;Réalisations;
1. Recettes totales et dons;960 991 120;1 043 896 120;981 871 746;1 073 594 742;1 047 286 587;
1.1. Recettes totales;700 745 374;711 745 374;721 400 000;744 722 996;793 616 305;
1.1.1. Recettes courantes;700 745 374;711 745 374;721 400 000;744 722 689;793 615 824;
1.1.1.1 Recettes fiscales*;609 133 462;614 883 417;635 100 000;661 559 131;695 633 861;
1.1.1.2  Recettes non fiscales;91 611 912;96 861 957;86 300 000;83 163 558;97 981 964;
1.1.2. Recettes en capital;0;0;0;307;481;
1.2. Dons;260 245 746;332 150 746;260 471 746;328 871 746;253 670 282;
1.2.1. projets;130 371 746;130 371 746;130 371 746;130 371 746;73 100 000;
1.2.2. programmes;129 874 000;201 779 000;130 100 000;198 500 000;180 570 282;
2. Dépenses totales et prêts nets ;1 120 257 032;1 258 305 220;1 161 172 056;1 258 026 150;1 166 039 470;
2.1. Dépenses totales;
1 126 547 769;1 264 595 957;1 156 172 056;1 264 594 266;1 163 387 070;
2.1.1. Dépenses courantes;560 856 402;633 397 072;571 100 000;633 395 380;628 253 944;
Salaires;260 000 000;281 537 029;265 500 000;281 537 029;281 386 164;
Dépenses de fonctionnement;101 100 000;100 818 237;106 800 000;100 818 237;97 144 429;
Intérêts dus;21 006 783;22 001 692;22 400 000;22 000 000;28 291 579;
sur dette intérieure;12 157 455;13 152 364;12 963 765;12 252 364;15 903 318;
sur dette extérieure;8 849 328;8 849 328;9 436 235;9 747 636;12 388 261;
Transferts courants;178 749 619;229 040 114;176 400 000;229 040 114;221 431 772;
2.1.2. Dépenses en capital;565 691 367;584 635 591;585 072 056;584 635 591;488 569 832;
Investissements sur ressources propres;263 719 311;285 763 535;283 100 000;285 763 535;282 527 168;
Transferts en capital et restructurations;7 000 000;3 900 000;7 000 000;3 900 000;3 849 085;
Investissements sur ressources extérieures;294 972 056;294 972 056;294 972 056;294 972 056;202 193 579;
        Dons;130 371 746;130 371 746;130 371 746;130 371 746;73 100 000;
        Prêts;164 600 310;164 600 310;164 600 310;164 600 310;129 093 579;
2.1.3. Dépenses d'invest exercice 2010;46 563 294;46 563 295;46 563 295;
2.2. Prêts nets ;-6 290 737;-6 290 737;5 000 000;-6 568 116;2 652 400;
3. Solde global (base engagement);-159 265 912;-214 409 100;-179 300 310;-184 431 408;-118 752 883;
Solde global hors dons (base engagement);-419 511 658;-546 559 846;-439 772 056;-496 326 839;-372 423 165;
Solde primaire;-103 532 819;-229 586 098;-122 400 000;-178 100 000;-141 938 007;
Solde de base;-124 539 602;-251 587 790;-144 800 000;-201 354 783;-170 229 587;
4. Ajustement caisse;0;0;0;-21 200 000;13 185 819;
5. Solde global base caisse ;-159 265 912;-214 409 100;-179 300 310;-205 631 408;-105 567 064;
Solde global base caisse hors dons;-419 511 658;-546 559 846;-439 772 056;-517 526 839;-359 237 346;
6. Financement;134 407 093;179 409 100;179 300 310;200 800 310;104 851 506;
6.1. Financement exterieur;142 916 038;142 916 038;138 100 310;142 900 310;108 800 673;
6.2. Financement intérieur;-8 508 945;36 493 062;41 200 000;57 900 000;-3 949 167;
Recettes de privatisations;0;0;0;0;45 571;
Erreurs et omissions(-=surfinancement);715 558;
Gap de financement;24 858 819;35 000 000;0;4 831 098;0;
 ;
v ;
 ;
TOFE 2012;Prévisions;Prévisions;Programme initial;Programme revisé;Total;
Loi Fin initiale 2012;Loi Fin rect 2012;2012;Réalisations;
1. Recettes totales et dons;1 239 648 789;1 343 921 105;1 176 797 280;1 300 389 888;1 276 409 882;
1.1. Recettes totales;835 261 490;924 667 314;826 100 000;902 514 300;998 909 190;
1.1.1. Recettes courantes;835 261 490;924 667 314;826 100 000;902 514 300;998 814 177;
1.1.1.1 Recettes fiscales*;724 520 217;812 123 907;719 200 000;812 125 306;890 777 735;
Impôts sur revenus et bénéfices;178 341 092;229 444 164;177 317 386;229 444 164;256 029 139;
dont impôts sur BIC sociétés;89 868 583;140 644 214;89 286 525;140 644 214;156 886 914;
Impôt sur la main d'œuvre;8 824 632;5 165 829;8 750 657;5 165 829;5 900 677;
Impôt sur la propriété;4 819 470;5 107 260;4 779 069;5 107 260;5 772 183;
Taxes sur biens et services;398 966 859;416 798 601;395 772 970;416 800 000;467 464 758;
Autres recettes fiscales;7 436 705;5 836 035;7 374 364;5 836 035;7 001 818;
1.1.1.2  Recettes non fiscales;110 741 273;112 543 407;106 900 000;90 388 994;108 036 442;
1.1.2. Recettes en capital;0;0;0;0;95 013;
1.2. Dons;404 387 299;419 253 791;350 697 280;397 875 588;277 500 692;
1.2.1. projets;220 332 789;223 499 791;217 200 000;222 130 587;111 609 103;
1.2.2. programmes;184 054 510;195 754 000;133 497 280;175 745 001;165 891 589;
2. Dépenses totales et prêts nets ;1 343 746 451;1 542 041 776;1 330 164 220;1 472 244 966;1 452 866 031;
  Depenses interieures et prets nets;963 620 284;1 150 577 556;958 621 675;1 112 808 253;1 217 246 825;
2.1. Dépenses totales;1 350 682 231;1 548 977 556;1 337 100 000;1 464 180 746;1 453 742 686;
2.1.1. Dépenses courantes;651 720 937;770 316 947;650 300 000;785 316 947;828 665 705;
Salaires;319 864 568;334 360 916;319 800 000;334 360 916;332 339 644;
Dépenses de fonctionnement;104 000 000;124 243 748;104 000 000;124 243 748;120 570 894;
Intérêts dus;20 030 369;28 500 712;20 500 000;28 500 712;41 805 615;
sur dette intérieure;11 657 455;20 127 798;11 657 455;20 127 798;28 813 884;
sur dette extérieure;8 372 914;8 372 914;8 842 545;8 372 914;12 991 730;
Transferts courants;207 826 000;283 211 571;206 000 000;298 211 571;333 949 552;
2.1.2. Dépenses en capital;698 961 294;778 660 609;686 800 000;678 863 799;625 076 981;
Investissements sur ressources propres;327 208 041;395 569 303;324 100 000;327 800 000;402 449 506;
Transferts en capital et restructurations;6 300 000;6 300 000;5 500 000;6 300 000;5 496 972;
Investissements sur ressources extérieures;365 453 253;376 791 306;357 200 000;344 763 799;217 130 503;
2.2. Prêts nets ;-6 935 780;-6 935 780;-6 935 780;8 064 220;-876 656;
3. Solde global (base engagement);-104 097 662;-198 120 671;-153 366 940;-171 855 078;-176 456 148;
Solde global hors dons (base engagement);-508 484 961;-617 374 462;-504 064 220;-569 730 666;-453 956 840;
Solde primaire;-123 001 339;-212 082 444;-126 364 220;-196 466 155;-195 020 723;
Solde de base;-143 031 708;-240 583 156;-146 864 220;-224 966 867;-236 826 337;
4. Ajustement caisse;0;0;-500 000;0;19 627 279;
5. Solde global base caisse ;-104 097 662;-198 120 671;-153 866 940;-171 855 078;-156 828 869;
Solde global base caisse hors dons;-508 484 961;-617 374 462;-504 564 220;-569 730 666;-381 681 240;
6. Financement;69 097 662;227 261 837;144 238 152;157 757 807;150 203 982;
6.1. Financement exterieur;123 888 729;133 559 780;118 800 000;102 901 477;85 545 858;
6.2. Financement intérieur;-54 791 067;93 702 057;25 438 152;54 856 330;64 658 124;
Gap de financement;35 000 000;-29 141 166;9 628 788;14 097 271;0;
 ;
vi ;
 ;
